,Conditions,DateUTC<br />,Dew PointC,Events,Gust SpeedKm/h,Humidity,Precipitationmm,Sea Level PressurehPa,TemperatureC,TimeEDT,TimeEST,VisibilityKm,Wind Direction,Wind SpeedKm/h,WindDirDegrees
5,Mostly Cloudy,2012-09-05 09:51:00<br />,22.8,,-,91.0,,1008.8,24.4,5:51 AM,,12.9,SW,13.0,230
6,Overcast,2012-09-05 10:14:00<br />,22.8,,-,91.0,,1009.7,24.4,6:14 AM,,12.9,WSW,11.1,240
7,Overcast,2012-09-05 10:51:00<br />,22.8,,-,91.0,,1008.6,24.4,6:51 AM,,12.9,Variable,9.3,0
8,Overcast,2012-09-05 11:16:00<br />,22.8,,-,88.0,,1009.4,25.0,7:16 AM,,11.3,Variable,7.4,0
9,Overcast,2012-09-05 11:31:00<br />,22.8,,31.5,88.0,,1009.7,25.0,7:31 AM,,9.7,West,9.3,260
10,Overcast,2012-09-05 11:51:00<br />,22.8,,-,88.0,,1008.6,25.0,7:51 AM,,11.3,SW,9.3,230
11,Overcast,2012-09-05 12:36:00<br />,23.3,,-,87.0,,1009.4,25.6,8:36 AM,,11.3,WSW,5.6,240
12,Mostly Cloudy,2012-09-05 13:32:00<br />,23.3,,-,90.0,0.0,1009.4,25.0,9:32 AM,,9.7,WSW,11.1,250
13,Mostly Cloudy,2012-09-05 13:51:00<br />,23.3,,-,87.0,0.0,1008.8,25.6,9:51 AM,,11.3,Variable,7.4,0
14,Overcast,2012-09-05 14:51:00<br />,22.8,,-,82.0,,1008.5,26.1,10:51 AM,,12.9,North,-9999.0,0
15,Overcast,2012-09-05 15:51:00<br />,20.6,,-,79.0,,1008.7,24.4,11:51 AM,,16.1,WNW,13.0,300
16,Light Rain,2012-09-05 16:11:00<br />,21.7,Rain,-,93.0,0.04,1010.0,22.8,12:11 PM,,4.8,Variable,11.1,0
17,Mostly Cloudy,2012-09-05 16:42:00<br />,22.8,,-,94.0,0.05,1009.4,23.9,12:42 PM,,16.1,Variable,5.6,0
18,Scattered Clouds,2012-09-05 16:51:00<br />,21.7,,-,85.0,0.05,1008.6,24.4,12:51 PM,,16.1,Calm,Calm,0
19,Mostly Cloudy,2012-09-05 17:10:00<br />,21.1,,-,82.0,,1009.7,24.4,1:10 PM,,16.1,WNW,7.4,300
20,Overcast,2012-09-05 17:51:00<br />,21.1,,-,82.0,,1008.8,24.4,1:51 PM,,16.1,WNW,5.6,290
21,Overcast,2012-09-05 18:34:00<br />,21.1,,-,79.0,,1009.7,25.0,2:34 PM,,16.1,Calm,Calm,0
22,Overcast,2012-09-05 18:51:00<br />,20.6,,-,76.0,,1008.6,25.0,2:51 PM,,16.1,Variable,11.1,0
23,Overcast,2012-09-05 19:05:00<br />,20.0,,-,74.0,,1009.7,25.0,3:05 PM,,16.1,NNW,7.4,330
24,Overcast,2012-09-05 19:40:00<br />,19.4,,-,68.0,,1009.4,25.6,3:40 PM,,16.1,Variable,5.6,0
25,Overcast,2012-09-05 19:47:00<br />,20.0,,-,69.0,,1009.4,26.0,3:47 PM,,16.1,Variable,5.6,0
26,Overcast,2012-09-05 19:51:00<br />,20.0,,-,69.0,,1008.4,26.1,3:51 PM,,16.1,Calm,Calm,0
27,Clear,2012-09-05 20:51:00<br />,19.4,,-,64.0,,1008.3,26.7,4:51 PM,,16.1,Calm,Calm,0
28,Partly Cloudy,2012-09-05 21:51:00<br />,19.4,,-,68.0,,1008.8,25.6,5:51 PM,,16.1,Variable,5.6,0
29,Scattered Clouds,2012-09-05 22:51:00<br />,18.3,,-,62.0,,1009.0,26.1,6:51 PM,,16.1,Variable,5.6,0
30,Scattered Clouds,2012-09-05 23:51:00<br />,17.8,,-,64.0,,1009.7,25.0,7:51 PM,,16.1,West,7.4,280
31,Clear,2012-09-06 00:51:00<br />,17.2,,-,66.0,,1010.3,23.9,8:51 PM,,16.1,WNW,7.4,300
32,Clear,2012-09-06 01:51:00<br />,17.2,,-,68.0,,1009.9,23.3,9:51 PM,,16.1,Calm,Calm,0
33,Clear,2012-09-06 02:51:00<br />,17.2,,-,71.0,,1009.9,22.8,10:51 PM,,16.1,Calm,Calm,0
34,Clear,2012-09-06 03:51:00<br />,17.8,,-,73.0,,1009.9,22.8,11:51 PM,,16.1,Calm,Calm,0
0,Clear,2012-09-06 04:51:00<br />,17.8,,-,78.0,,1010.2,21.7,12:51 AM,,16.1,Calm,Calm,0
1,Partly Cloudy,2012-09-06 05:51:00<br />,18.3,,-,84.0,,1010.1,21.1,1:51 AM,,16.1,WNW,5.6,300
2,Clear,2012-09-06 06:51:00<br />,18.3,,-,84.0,,1010.1,21.1,2:51 AM,,16.1,Calm,Calm,0
3,Mostly Cloudy,2012-09-06 07:51:00<br />,18.3,,-,84.0,,1010.3,21.1,3:51 AM,,16.1,Calm,Calm,0
4,Mostly Cloudy,2012-09-06 08:51:00<br />,18.9,,-,90.0,,1010.7,20.6,4:51 AM,,16.1,Variable,5.6,0
5,Clear,2012-09-06 09:51:00<br />,18.3,,-,87.0,,1011.2,20.6,5:51 AM,,16.1,Calm,Calm,0
6,Clear,2012-09-06 10:51:00<br />,17.8,,-,84.0,,1011.7,20.6,6:51 AM,,16.1,Calm,Calm,0
7,Clear,2012-09-06 11:51:00<br />,18.3,,-,78.0,,1011.7,22.2,7:51 AM,,16.1,Calm,Calm,0
8,Clear,2012-09-06 12:51:00<br />,17.8,,-,73.0,,1012.4,22.8,8:51 AM,,16.1,ENE,7.4,60
9,Clear,2012-09-06 13:51:00<br />,18.3,,-,73.0,,1012.4,23.3,9:51 AM,,16.1,ENE,7.4,70
10,Scattered Clouds,2012-09-06 14:51:00<br />,18.9,,-,76.0,,1012.1,23.3,10:51 AM,,16.1,ENE,9.3,60
11,Clear,2012-09-06 15:51:00<br />,18.9,,-,73.0,,1012.5,23.9,11:51 AM,,16.1,Calm,Calm,0
12,Clear,2012-09-06 16:51:00<br />,18.9,,-,66.0,,1012.4,25.6,12:51 PM,,16.1,ENE,5.6,60
13,Clear,2012-09-06 17:51:00<br />,18.9,,-,66.0,,1012.0,25.6,1:51 PM,,16.1,Calm,Calm,0
14,Clear,2012-09-06 18:51:00<br />,19.4,,-,66.0,,1011.6,26.1,2:51 PM,,16.1,Calm,Calm,0
15,Clear,2012-09-06 19:51:00<br />,18.3,,-,62.0,,1011.6,26.1,3:51 PM,,16.1,Variable,5.6,0
16,Clear,2012-09-06 20:51:00<br />,18.3,,-,64.0,,1011.4,25.6,4:51 PM,,16.1,Calm,Calm,0
17,Clear,2012-09-06 21:51:00<br />,18.3,,-,64.0,,1011.5,25.6,5:51 PM,,16.1,Variable,5.6,0
18,Clear,2012-09-06 22:51:00<br />,19.4,,-,74.0,,1011.6,24.4,6:51 PM,,16.1,Calm,Calm,0
19,Clear,2012-09-06 23:51:00<br />,18.9,,-,73.0,,1011.7,23.9,7:51 PM,,16.1,Variable,5.6,0
20,Clear,2012-09-07 00:51:00<br />,18.9,,-,73.0,,1012.3,23.9,8:51 PM,,16.1,Variable,5.6,0
21,Clear,2012-09-07 01:51:00<br />,18.3,,-,73.0,,1012.6,23.3,9:51 PM,,16.1,Variable,5.6,0
22,Clear,2012-09-07 02:51:00<br />,18.9,,-,76.0,,1012.3,23.3,10:51 PM,,16.1,Variable,5.6,0
23,Clear,2012-09-07 03:51:00<br />,18.9,,-,76.0,,1011.8,23.3,11:51 PM,,16.1,Variable,9.3,0
0,Clear,2012-09-07 04:51:00<br />,19.4,,-,81.0,,1012.6,22.8,12:51 AM,,16.1,Variable,9.3,0
1,Clear,2012-09-07 05:51:00<br />,20.0,,-,84.0,,1012.2,22.8,1:51 AM,,16.1,Calm,Calm,0
2,Clear,2012-09-07 06:51:00<br />,19.4,,-,87.0,,1011.2,21.7,2:51 AM,,16.1,Calm,Calm,0
3,Clear,2012-09-07 07:51:00<br />,20.0,,-,87.0,,1011.7,22.2,3:51 AM,,16.1,West,11.1,260
4,Clear,2012-09-07 08:51:00<br />,20.0,,-,87.0,,1011.7,22.2,4:51 AM,,14.5,WNW,7.4,300
5,Clear,2012-09-07 09:51:00<br />,20.0,,-,90.0,,1011.6,21.7,5:51 AM,,12.9,Calm,Calm,0
6,Clear,2012-09-07 11:51:00<br />,20.0,,-,82.0,,1012.9,23.3,7:51 AM,,11.3,WNW,5.6,290
7,Clear,2012-09-07 12:51:00<br />,19.4,,-,74.0,,1013.1,24.4,8:51 AM,,12.9,Variable,5.6,0
8,Clear,2012-09-07 13:51:00<br />,19.4,,-,68.0,,1013.3,25.6,9:51 AM,,12.9,Calm,Calm,0
9,Clear,2012-09-07 14:51:00<br />,18.9,,-,60.0,,1013.1,27.2,10:51 AM,,14.5,Variable,9.3,0
10,Clear,2012-09-07 15:51:00<br />,20.6,,-,59.0,,1012.8,29.4,11:51 AM,,11.3,Variable,7.4,0
11,Overcast,2012-09-07 16:51:00<br />,20.0,,-,60.0,,1012.6,28.3,12:51 PM,,14.5,Variable,5.6,0
12,Scattered Clouds,2012-09-07 17:51:00<br />,20.0,,-,55.0,,1012.3,30.0,1:51 PM,,14.5,Calm,Calm,0
13,Mostly Cloudy,2012-09-07 18:51:00<br />,21.1,,-,59.0,,1011.7,30.0,2:51 PM,,14.5,Variable,7.4,0
14,Mostly Cloudy,2012-09-07 19:51:00<br />,21.7,,-,65.0,,1011.5,28.9,3:51 PM,,14.5,Variable,9.3,0
15,Mostly Cloudy,2012-09-07 20:51:00<br />,21.7,,-,63.0,,1011.3,29.4,4:51 PM,,16.1,Calm,Calm,0
16,Mostly Cloudy,2012-09-07 21:51:00<br />,21.7,,-,65.0,,1011.0,28.9,5:51 PM,,16.1,Calm,Calm,0
17,Scattered Clouds,2012-09-07 22:51:00<br />,21.1,,-,67.0,,1011.2,27.8,6:51 PM,,14.5,Variable,11.1,0
18,Mostly Cloudy,2012-09-07 23:51:00<br />,20.0,,-,62.0,,1011.5,27.8,7:51 PM,,16.1,Variable,7.4,0
19,Clear,2012-09-08 00:51:00<br />,20.0,,-,67.0,,1012.0,26.7,8:51 PM,,16.1,Variable,7.4,0
20,Clear,2012-09-08 01:51:00<br />,18.9,,-,62.0,,1011.8,26.7,9:51 PM,,16.1,Variable,5.6,0
21,Clear,2012-09-08 02:51:00<br />,18.9,,-,66.0,,1011.2,25.6,10:51 PM,,16.1,SW,5.6,230
22,Clear,2012-09-08 03:51:00<br />,18.9,,-,71.0,,1010.0,24.4,11:51 PM,,16.1,Variable,7.4,0
0,Clear,2012-09-08 04:51:00<br />,17.8,,-,69.0,,1011.2,23.9,12:51 AM,,16.1,Calm,Calm,0
1,Clear,2012-09-08 05:51:00<br />,17.2,,-,66.0,,1011.5,23.9,1:51 AM,,16.1,SSW,13.0,210
2,Clear,2012-09-08 06:51:00<br />,17.2,,-,68.0,,1010.8,23.3,2:51 AM,,16.1,Variable,5.6,0
3,Clear,2012-09-08 07:51:00<br />,20.0,,-,84.0,,1010.6,22.8,3:51 AM,,16.1,Variable,9.3,0
4,Mostly Cloudy,2012-09-08 08:34:00<br />,19.4,,-,81.0,,1011.4,22.8,4:34 AM,,16.1,Variable,11.1,0
5,Overcast,2012-09-08 08:51:00<br />,20.0,,-,84.0,,1010.3,22.8,4:51 AM,,16.1,Variable,5.6,0
6,Mostly Cloudy,2012-09-08 09:51:00<br />,20.0,,-,82.0,,1010.2,23.3,5:51 AM,,16.1,Variable,7.4,0
7,Mostly Cloudy,2012-09-08 10:51:00<br />,20.6,,-,85.0,,1009.9,23.3,6:51 AM,,16.1,Calm,Calm,0
8,Mostly Cloudy,2012-09-08 11:43:00<br />,21.1,,-,84.0,,1010.0,23.9,7:43 AM,,16.1,Variable,7.4,0
9,Overcast,2012-09-08 11:51:00<br />,21.1,,-,84.0,,1009.1,23.9,7:51 AM,,16.1,Calm,Calm,0
10,Overcast,2012-09-08 12:12:00<br />,21.1,,-,82.0,,1010.0,24.4,8:12 AM,,16.1,Variable,5.6,0
11,Overcast,2012-09-08 12:51:00<br />,21.7,,-,85.0,,1008.2,24.4,8:51 AM,,16.1,North,-9999.0,0
12,Mostly Cloudy,2012-09-08 13:49:00<br />,22.0,,-,83.0,,1008.4,25.0,9:49 AM,,16.1,Variable,7.4,0
13,Mostly Cloudy,2012-09-08 13:51:00<br />,22.2,,-,84.0,,1007.3,25.0,9:51 AM,,16.1,Variable,7.4,0
14,Light Rain,2012-09-08 14:03:00<br />,22.2,Rain,-,87.0,0.0,1008.4,24.4,10:03 AM,,1.6,Variable,9.3,0
15,Heavy Rain,2012-09-08 14:05:00<br />,22.8,Fog-Rain,-,94.0,0.02,1008.0,23.9,10:05 AM,,0.8,Variable,11.1,0
16,Light Rain,2012-09-08 14:14:00<br />,22.8,Rain,-,97.0,0.12,1008.4,23.3,10:14 AM,,2.0,South,13.0,190
17,Light Rain,2012-09-08 14:17:00<br />,22.8,Rain,-,97.0,0.12,1008.4,23.3,10:17 AM,,4.8,Variable,5.6,0
18,Rain,2012-09-08 14:20:00<br />,22.8,Rain,-,97.0,0.12,1008.4,23.3,10:20 AM,,2.8,South,7.4,180
19,Rain,2012-09-08 14:31:00<br />,22.8,Rain,-,100.0,0.17,1008.0,22.8,10:31 AM,,2.0,Variable,9.3,0
20,Light Rain,2012-09-08 14:45:00<br />,23.0,Rain,-,100.0,0.21,1008.0,23.0,10:45 AM,,4.8,Variable,9.3,0
21,Light Rain,2012-09-08 14:51:00<br />,22.8,Rain,-,97.0,0.21,1006.9,23.3,10:51 AM,,6.4,Variable,9.3,0
22,Overcast,2012-09-08 15:28:00<br />,23.3,,-,96.0,0.01,1007.3,23.9,11:28 AM,,8.0,Variable,9.3,0
23,Overcast,2012-09-08 15:51:00<br />,23.3,,-,94.0,0.01,1006.0,24.4,11:51 AM,,9.7,Variable,11.1,0
24,Mostly Cloudy,2012-09-08 16:03:00<br />,23.9,,-,94.0,,1006.7,25.0,12:03 PM,,11.3,Variable,7.4,0
25,Overcast,2012-09-08 16:51:00<br />,23.3,,40.7,87.0,,1004.8,25.6,12:51 PM,,12.9,South,13.0,190
26,Overcast,2012-09-08 17:51:00<br />,23.3,,-,84.0,,1003.9,26.1,1:51 PM,,14.5,North,-9999.0,0
27,Overcast,2012-09-08 18:51:00<br />,23.9,,-,82.0,,1002.8,27.2,2:51 PM,,14.5,South,7.4,180
28,Mostly Cloudy,2012-09-08 19:51:00<br />,22.8,,-,77.0,,1002.2,27.2,3:51 PM,,14.5,Variable,11.1,0
29,Partly Cloudy,2012-09-08 20:03:00<br />,22.8,,-,77.0,,1002.9,27.2,4:03 PM,,14.5,Variable,9.3,0
30,Clear,2012-09-08 20:51:00<br />,22.8,,-,77.0,,1001.3,27.2,4:51 PM,,14.5,Variable,9.3,0
31,Mostly Cloudy,2012-09-08 21:51:00<br />,18.3,,53.7,71.0,,1003.1,23.9,5:51 PM,,16.1,West,11.1,280
32,Rain,2012-09-08 22:14:00<br />,20.0,Rain,-,93.0,0.02,1004.3,21.1,6:14 PM,,2.8,West,7.4,270
33,Light Rain,2012-09-08 22:27:00<br />,20.6,Rain,-,97.0,0.07,1004.6,21.1,6:27 PM,,4.8,WNW,13.0,290
34,Overcast,2012-09-08 22:51:00<br />,20.6,,-,97.0,0.09,1004.0,21.1,6:51 PM,,14.5,WNW,9.3,290
35,Light Rain,2012-09-08 23:51:00<br />,20.0,Rain,-,93.0,0.0,1005.4,21.1,7:51 PM,,14.5,West,5.6,280
36,Light Rain,2012-09-09 00:51:00<br />,16.7,Rain,-,87.0,0.04,1007.0,18.9,8:51 PM,,12.9,Variable,7.4,0
37,Light Rain,2012-09-09 02:51:00<br />,16.7,Rain,-,93.0,0.01,1008.2,17.8,10:51 PM,,16.1,Variable,7.4,0
38,Light Rain,2012-09-09 03:51:00<br />,16.1,Rain,-,90.0,0.0,1008.4,17.8,11:51 PM,,16.1,West,9.3,280
0,Scattered Clouds,2012-09-09 04:51:00<br />,16.1,,-,90.0,0.0,1008.8,17.8,12:51 AM,,16.1,Variable,5.6,0
1,Overcast,2012-09-09 05:51:00<br />,16.1,,-,90.0,,1008.2,17.8,1:51 AM,,16.1,Variable,5.6,0
2,Clear,2012-09-09 06:51:00<br />,15.6,,-,87.0,,1008.5,17.8,2:51 AM,,16.1,Variable,5.6,0
3,Clear,2012-09-09 07:51:00<br />,15.6,,-,87.0,,1008.5,17.8,3:51 AM,,16.1,Calm,Calm,0
4,Clear,2012-09-09 08:51:00<br />,15.0,,-,81.0,,1009.2,18.3,4:51 AM,,16.1,Calm,Calm,0
5,Clear,2012-09-09 09:51:00<br />,14.4,,-,80.0,,1009.5,17.8,5:51 AM,,16.1,Calm,Calm,0
6,Clear,2012-09-09 10:51:00<br />,14.4,,-,80.0,,1010.3,17.8,6:51 AM,,16.1,Calm,Calm,0
7,Clear,2012-09-09 11:51:00<br />,13.9,,-,81.0,,1010.7,17.2,7:51 AM,,16.1,NNW,9.3,340
8,Clear,2012-09-09 12:51:00<br />,13.3,,-,73.0,,1011.0,18.3,8:51 AM,,16.1,NNE,7.4,20
9,Partly Cloudy,2012-09-09 14:51:00<br />,14.4,,-,70.0,,1011.7,20.0,10:51 AM,,16.1,Calm,Calm,0
10,Clear,2012-09-09 15:51:00<br />,11.7,,-,49.0,,1011.6,22.8,11:51 AM,,16.1,ENE,7.4,70
11,Clear,2012-09-09 16:51:00<br />,11.7,,-,46.0,,1011.1,23.9,12:51 PM,,16.1,WNW,9.3,290
12,Clear,2012-09-09 17:51:00<br />,10.0,,-,40.0,,1010.2,24.4,1:51 PM,,16.1,Variable,5.6,0
13,Partly Cloudy,2012-09-09 18:51:00<br />,9.4,,-,40.0,,1009.4,23.9,2:51 PM,,16.1,Calm,Calm,0
14,Scattered Clouds,2012-09-09 19:51:00<br />,10.0,,-,43.0,,1009.2,23.3,3:51 PM,,16.1,Variable,7.4,0
15,Partly Cloudy,2012-09-09 20:51:00<br />,10.0,,-,43.0,,1008.9,23.3,4:51 PM,,16.1,Calm,Calm,0
16,Clear,2012-09-09 21:51:00<br />,9.4,,-,41.0,,1009.3,23.3,5:51 PM,,16.1,NW,7.4,320
17,Partly Cloudy,2012-09-09 22:51:00<br />,10.0,,-,44.0,,1009.8,22.8,6:51 PM,,16.1,Variable,9.3,0
18,Partly Cloudy,2012-09-09 23:51:00<br />,11.1,,-,49.0,,1010.3,22.2,7:51 PM,,16.1,North,-9999.0,0
19,Mostly Cloudy,2012-09-10 00:51:00<br />,11.1,,-,54.0,,1011.3,20.6,8:51 PM,,16.1,Variable,5.6,0
20,Overcast,2012-09-10 01:51:00<br />,12.8,,-,66.0,0.0,1011.4,19.4,9:51 PM,,16.1,Variable,5.6,0
21,Partly Cloudy,2012-09-10 02:51:00<br />,13.9,,-,73.0,,1011.7,18.9,10:51 PM,,16.1,Variable,7.4,0
22,Clear,2012-09-10 03:51:00<br />,13.9,,-,75.0,,1012.1,18.3,11:51 PM,,16.1,Variable,9.3,0
0,Clear,2012-09-10 04:51:00<br />,13.9,,-,78.0,,1012.7,17.8,12:51 AM,,16.1,Variable,5.6,0
1,Clear,2012-09-10 05:51:00<br />,13.3,,-,78.0,,1012.5,17.2,1:51 AM,,16.1,NNW,13.0,330
2,Clear,2012-09-10 06:51:00<br />,12.2,,-,75.0,,1012.4,16.7,2:51 AM,,16.1,Variable,5.6,0
3,Clear,2012-09-10 07:51:00<br />,10.6,,-,70.0,,1012.4,16.1,3:51 AM,,16.1,Variable,11.1,0
4,Clear,2012-09-10 10:51:00<br />,9.4,,-,69.0,,1012.6,15.0,6:51 AM,,16.1,Variable,7.4,0
5,Clear,2012-09-10 11:51:00<br />,9.4,,-,69.0,,1015.4,15.0,7:51 AM,,16.1,Variable,5.6,0
6,Clear,2012-09-10 12:51:00<br />,9.4,,-,64.0,,1015.8,16.1,8:51 AM,,16.1,Variable,9.3,0
7,Clear,2012-09-10 13:51:00<br />,9.4,,-,58.0,,1016.2,17.8,9:51 AM,,16.1,Calm,Calm,0
8,Clear,2012-09-10 14:51:00<br />,8.3,,-,49.0,,1016.0,19.4,10:51 AM,,16.1,Variable,5.6,0
9,Partly Cloudy,2012-09-10 15:51:00<br />,6.7,,-,40.0,,1015.8,20.6,11:51 AM,,16.1,Variable,9.3,0
10,Scattered Clouds,2012-09-10 16:51:00<br />,6.7,,-,39.0,,1015.5,21.1,12:51 PM,,16.1,North,-9999.0,0
11,Scattered Clouds,2012-09-10 17:51:00<br />,6.1,,35.2,38.0,,1015.3,21.1,1:51 PM,,16.1,WNW,14.8,290
12,Scattered Clouds,2012-09-10 18:51:00<br />,6.1,,33.3,36.0,,1015.1,21.7,2:51 PM,,16.1,Variable,9.3,0
13,Clear,2012-09-10 19:51:00<br />,5.6,,27.8,36.0,,1015.1,21.1,3:51 PM,,16.1,WNW,13.0,300
14,Clear,2012-09-10 20:51:00<br />,5.6,,38.9,38.0,,1015.6,20.6,4:51 PM,,16.1,Variable,11.1,0
15,Clear,2012-09-10 21:51:00<br />,4.4,,-,36.0,,1016.4,20.0,5:51 PM,,16.1,Variable,9.3,0
16,Clear,2012-09-10 22:51:00<br />,4.4,,-,37.0,,1017.0,19.4,6:51 PM,,16.1,Variable,9.3,0
17,Clear,2012-09-10 23:51:00<br />,5.0,,-,40.0,,1017.6,18.9,7:51 PM,,16.1,Calm,Calm,0
18,Clear,2012-09-11 00:51:00<br />,5.0,,-,42.0,,1018.6,18.3,8:51 PM,,16.1,Variable,5.6,0
19,Clear,2012-09-11 01:51:00<br />,5.0,,-,45.0,,1019.7,17.2,9:51 PM,,16.1,NNW,13.0,330
20,Clear,2012-09-11 02:51:00<br />,5.0,,-,48.0,,1020.1,16.1,10:51 PM,,16.1,Variable,5.6,0
21,Clear,2012-09-11 03:51:00<br />,5.6,,-,51.0,,1020.7,15.6,11:51 PM,,16.1,Variable,9.3,0
0,Clear,2012-09-11 04:51:00<br />,6.7,,-,58.0,,1020.9,15.0,12:51 AM,,16.1,Variable,11.1,0
1,Clear,2012-09-11 05:51:00<br />,6.1,,-,55.0,,1021.1,15.0,1:51 AM,,16.1,Variable,11.1,0
2,Clear,2012-09-11 06:51:00<br />,6.1,,-,59.0,,1021.3,13.9,2:51 AM,,16.1,North,5.6,10
3,Clear,2012-09-11 07:51:00<br />,5.6,,-,60.0,,1021.7,13.3,3:51 AM,,16.1,Calm,Calm,0
4,Clear,2012-09-11 08:51:00<br />,5.0,,-,59.0,,1022.4,12.8,4:51 AM,,16.1,NNW,5.6,340
5,Clear,2012-09-11 09:51:00<br />,6.7,,-,69.0,,1022.9,12.2,5:51 AM,,16.1,Calm,Calm,0
6,Clear,2012-09-11 10:51:00<br />,6.7,,-,67.0,,1023.8,12.8,6:51 AM,,16.1,Variable,5.6,0
7,Clear,2012-09-11 11:51:00<br />,6.7,,-,67.0,,1024.6,12.8,7:51 AM,,16.1,WNW,7.4,290
8,Clear,2012-09-11 12:51:00<br />,6.7,,-,62.0,,1024.8,13.9,8:51 AM,,16.1,Variable,5.6,0
9,Clear,2012-09-11 13:51:00<br />,6.1,,-,53.0,,1025.3,15.6,9:51 AM,,16.1,Calm,Calm,0
10,Clear,2012-09-11 14:51:00<br />,4.4,,-,43.0,,1025.3,17.2,10:51 AM,,16.1,North,9.3,350
11,Clear,2012-09-11 15:51:00<br />,4.4,,-,37.0,,1025.0,19.4,11:51 AM,,16.1,NE,11.1,50
12,Clear,2012-09-11 16:51:00<br />,4.4,,-,35.0,,1024.7,20.6,12:51 PM,,16.1,East,5.6,80
13,Clear,2012-09-11 17:51:00<br />,4.4,,-,32.0,,1024.1,21.7,1:51 PM,,16.1,Calm,Calm,0
14,Clear,2012-09-11 18:51:00<br />,4.4,,-,32.0,,1023.7,21.7,2:51 PM,,16.1,Variable,5.6,0
15,Clear,2012-09-11 19:51:00<br />,5.0,,-,34.0,,1023.3,21.7,3:51 PM,,16.1,WNW,9.3,290
16,Clear,2012-09-11 20:51:00<br />,3.3,,-,29.0,,1023.5,22.2,4:51 PM,,16.1,Variable,7.4,0
17,Clear,2012-09-11 21:51:00<br />,5.0,,-,33.0,,1023.7,22.2,5:51 PM,,16.1,Variable,5.6,0
18,Clear,2012-09-11 22:51:00<br />,6.1,,-,40.0,,1023.8,20.0,6:51 PM,,16.1,Calm,Calm,0
19,Clear,2012-09-11 23:51:00<br />,6.7,,-,45.0,,1024.2,18.9,7:51 PM,,16.1,Calm,Calm,0
20,Clear,2012-09-12 00:51:00<br />,6.1,,-,43.0,,1024.9,18.9,8:51 PM,,16.1,SSE,5.6,150
21,Clear,2012-09-12 01:51:00<br />,8.3,,-,52.0,,1025.1,18.3,9:51 PM,,16.1,Calm,Calm,0
22,Clear,2012-09-12 02:51:00<br />,9.4,,-,56.0,,1025.1,18.3,10:51 PM,,16.1,Calm,Calm,0
23,Clear,2012-09-12 03:51:00<br />,8.9,,-,54.0,,1025.2,18.3,11:51 PM,,16.1,West,5.6,260
0,Clear,2012-09-12 04:51:00<br />,8.3,,-,52.0,,1025.4,18.3,12:51 AM,,16.1,West,5.6,260
1,Clear,2012-09-12 05:51:00<br />,10.0,,-,60.0,,1025.7,17.8,1:51 AM,,16.1,West,7.4,260
2,Clear,2012-09-12 06:51:00<br />,8.9,,-,58.0,,1025.8,17.2,2:51 AM,,16.1,Calm,Calm,0
3,Clear,2012-09-12 07:51:00<br />,9.4,,-,60.0,,1025.8,17.2,3:51 AM,,16.1,Calm,Calm,0
4,Clear,2012-09-12 08:51:00<br />,10.0,,-,67.0,,1026.1,16.1,4:51 AM,,16.1,Calm,Calm,0
5,Clear,2012-09-12 09:51:00<br />,11.1,,-,75.0,,1026.6,15.6,5:51 AM,,16.1,Variable,5.6,0
6,Clear,2012-09-12 10:51:00<br />,11.1,,-,78.0,,1027.2,15.0,6:51 AM,,16.1,Calm,Calm,0
7,Clear,2012-09-12 11:51:00<br />,11.1,,-,72.0,,1027.6,16.1,7:51 AM,,16.1,Calm,Calm,0
8,Clear,2012-09-12 12:51:00<br />,10.0,,-,60.0,,1027.8,17.8,8:51 AM,,16.1,Calm,Calm,0
9,Clear,2012-09-12 13:51:00<br />,11.1,,-,59.0,,1028.1,19.4,9:51 AM,,16.1,Calm,Calm,0
10,Clear,2012-09-12 14:51:00<br />,10.6,,-,48.0,,1028.1,22.2,10:51 AM,,16.1,Calm,Calm,0
11,Clear,2012-09-12 15:51:00<br />,9.4,,-,38.0,,1027.7,24.4,11:51 AM,,16.1,Variable,5.6,0
12,Clear,2012-09-12 16:51:00<br />,9.4,,-,36.0,,1027.6,25.6,12:51 PM,,16.1,Variable,5.6,0
13,Clear,2012-09-12 17:51:00<br />,9.4,,-,35.0,,1027.0,26.1,1:51 PM,,16.1,North,-9999.0,0
14,Clear,2012-09-12 18:51:00<br />,9.4,,-,34.0,,1026.7,26.7,2:51 PM,,16.1,Variable,9.3,0
15,Clear,2012-09-12 19:51:00<br />,8.9,,-,34.0,,1026.3,26.1,3:51 PM,,16.1,Calm,Calm,0
16,Clear,2012-09-12 20:51:00<br />,10.6,,-,42.0,,1026.3,24.4,4:51 PM,,16.1,Variable,11.1,0
17,Clear,2012-09-12 21:51:00<br />,11.7,,-,48.0,,1026.4,23.3,5:51 PM,,16.1,Variable,11.1,0
18,Clear,2012-09-12 22:51:00<br />,11.7,,-,51.0,,1026.6,22.2,6:51 PM,,16.1,South,13.0,180
19,Clear,2012-09-12 23:51:00<br />,11.7,,-,55.0,,1027.0,21.1,7:51 PM,,16.1,Variable,5.6,0
20,Clear,2012-09-13 00:51:00<br />,11.7,,-,57.0,,1027.6,20.6,8:51 PM,,16.1,North,-9999.0,0
21,Clear,2012-09-13 01:51:00<br />,12.2,,-,58.0,,1027.9,20.6,9:51 PM,,16.1,South,11.1,190
